"2","We are lynda.com, Inc., located at 6410 Via Real, Carpinteria, CA 93013, USA. We are committed to protecting and respecting your privacy. This Privacy Policy describes the types of information we may collect from you or that you may provide to us when you visit the lynda.com websites located at www.lynda.com, m.lynda.com and www.video2brain.com (the Websites) or the lynda.com mobile application (App) (collectively, the Services) , and our practices for collecting, using, maintaining, protecting and disclosing such information. This Privacy Policy applies to information we collect: (i) through our Services, (ii) in text and electronic messages between you and our Services, and (iii) via mobile applications you download from our Websites, which provide dedicated non-browser-based interactions between you and our Services. This Privacy Policy does not apply to any information collected by us offline or via third-party sites that may be accessed through hyperlinks on our Services.  ","Does"
"2","We are lynda.com, Inc., located at 6410 Via Real, Carpinteria, CA 93013, USA. We are committed to protecting and respecting your privacy. This Privacy Policy describes the types of information we may collect from you or that you may provide to us when you visit the lynda.com websites located at www.lynda.com, m.lynda.com and www.video2brain.com (the Websites) or the lynda.com mobile application (App) (collectively, the Services) , and our practices for collecting, using, maintaining, protecting and disclosing such information. This Privacy Policy applies to information we collect: (i) through our Services, (ii) in text and electronic messages between you and our Services, and (iii) via mobile applications you download from our Websites, which provide dedicated non-browser-based interactions between you and our Services. This Privacy Policy does not apply to any information collected by us offline or via third-party sites that may be accessed through hyperlinks on our Services.  ","Does Not"
"10","Please read the information below:   Information we collect about you     Where we store data     How we use your information     Disclosure of your information     Updating or correcting your personally identifiable information     Canceling your account or deleting your personally identifiable information     Choices regarding control of your personally identifiable information     Information related to data collected through the lynda.com platform service     Data Security     Cookies     Mobile Analytics     Links to third party web sites and advertisers     Notice to California residents     Changes to this Privacy Policy     Communities, forums, chat rooms, and message boards     Social Media features     Gift Certificates     How do you contact us with questions?  ","Does"
"10","Please read the information below:   Information we collect about you     Where we store data     How we use your information     Disclosure of your information     Updating or correcting your personally identifiable information     Canceling your account or deleting your personally identifiable information     Choices regarding control of your personally identifiable information     Information related to data collected through the lynda.com platform service     Data Security     Cookies     Mobile Analytics     Links to third party web sites and advertisers     Notice to California residents     Changes to this Privacy Policy     Communities, forums, chat rooms, and message boards     Social Media features     Gift Certificates     How do you contact us with questions?  ","Does"
"11","1. INFORMATION WE COLLECT ABOUT YOU   We collect several types of information about visitors and/or users of our Services. We may collect this information either directly when you provide it to us or automatically as you navigate through the Websites or App.  ","Does"
"11","1. INFORMATION WE COLLECT ABOUT YOU   We collect several types of information about visitors and/or users of our Services. We may collect this information either directly when you provide it to us or automatically as you navigate through the Websites or App.  ","Does"
"12","(a) Personally Identifiable Information. Personally Identifiable Information refers to information by which you may be personally identified, such as your name, email address, or school. We will collect and process such data about you when you register for a Service/create an account, subscribe to a newsletter, submit feedback, enter a contest, fill out a survey, or send us a communication. When ordering products or services on the Websites or App, you may also be asked to provide a credit card number and other payment-related information. You may also provide information to be published or displayed (posted) on public areas of the Websites (such as blogs, forums, message boards, and the like), or transmitted to other users of the Websites using sharing features (collectively, User Contributions) . Your User Contributions are posted and transmitted to others at your own risk. We cannot control the actions of other users of the Websites with whom you may choose to share your User Contributions. Depending upon the activity, some of the information we ask you to provide is identified as mandatory and some as voluntary. If you do not provide the mandatory data with respect to a particular activity, you will not be able to engage in that activity.  ","Does"
"12","(a) Personally Identifiable Information. Personally Identifiable Information refers to information by which you may be personally identified, such as your name, email address, or school. We will collect and process such data about you when you register for a Service/create an account, subscribe to a newsletter, submit feedback, enter a contest, fill out a survey, or send us a communication. When ordering products or services on the Websites or App, you may also be asked to provide a credit card number and other payment-related information. You may also provide information to be published or displayed (posted) on public areas of the Websites (such as blogs, forums, message boards, and the like), or transmitted to other users of the Websites using sharing features (collectively, User Contributions) . Your User Contributions are posted and transmitted to others at your own risk. We cannot control the actions of other users of the Websites with whom you may choose to share your User Contributions. Depending upon the activity, some of the information we ask you to provide is identified as mandatory and some as voluntary. If you do not provide the mandatory data with respect to a particular activity, you will not be able to engage in that activity.  ","Does"
"13","We may also collect your Internet Protocol (IP) address. We use your IP address to diagnose problems with our servers, software, to administer our Services and to gather demographic information.  ","Does"
"14","We do not collect more Personally Identifiable Information than is reasonably necessary to participate in an activity on the Websites. If you are a school and you use a lynda.com service within the United States for children under the age of 13, you are responsible for obtaining consent from the parents/legal guardians of each child you wish to allow to participate in using any of our Services. A child using our Services will be able to participate in certain activities such as taking online educational and informational courses.  ","Does Not"
