"2","This Privacy Statement answers the following questions:     What information does The Motley Fool gather about you-     How does The Motley Fool use your personal information-     Will The Motley Fool disclose any of your personal information-     What kind of security measures do we take to protect your information from accidental loss or disclosure-     Will The Motley Fool use your information for direct mailings-     How can you deactivate your account or correct or revise information that we have about you-     How do we respect children's privacy-     What else should you know about your privacy-     Does the Motley Fool participate in the Safe Harbor program-     How will you know whether The Motley Fool's privacy policy has changed-  ","Does"
"2","This Privacy Statement answers the following questions:     What information does The Motley Fool gather about you-     How does The Motley Fool use your personal information-     Will The Motley Fool disclose any of your personal information-     What kind of security measures do we take to protect your information from accidental loss or disclosure-     Will The Motley Fool use your information for direct mailings-     How can you deactivate your account or correct or revise information that we have about you-     How do we respect children's privacy-     What else should you know about your privacy-     Does the Motley Fool participate in the Safe Harbor program-     How will you know whether The Motley Fool's privacy policy has changed-  ","Does"
"3"," What Information Does The Motley Fool Gather About You-    The Motley Fool collects information about our readers so that we can provide a more interesting and useful service, as well as more appropriate advertising. We ask for your name, email address, and other personal information when you register to use certain features of our Web site, or if you sign up for special or personalized services, such as our discussion boards or email newsletters. We also may ask for this information at other times, such as when you enter contests or other promotions sponsored by The Motley Fool and/or our partners. We sometimes conduct surveys as well, although you do not have to respond to them.  ","Does"
"3"," What Information Does The Motley Fool Gather About You-    The Motley Fool collects information about our readers so that we can provide a more interesting and useful service, as well as more appropriate advertising. We ask for your name, email address, and other personal information when you register to use certain features of our Web site, or if you sign up for special or personalized services, such as our discussion boards or email newsletters. We also may ask for this information at other times, such as when you enter contests or other promotions sponsored by The Motley Fool and/or our partners. We sometimes conduct surveys as well, although you do not have to respond to them.  ","Does"
"3"," What Information Does The Motley Fool Gather About You-    The Motley Fool collects information about our readers so that we can provide a more interesting and useful service, as well as more appropriate advertising. We ask for your name, email address, and other personal information when you register to use certain features of our Web site, or if you sign up for special or personalized services, such as our discussion boards or email newsletters. We also may ask for this information at other times, such as when you enter contests or other promotions sponsored by The Motley Fool and/or our partners. We sometimes conduct surveys as well, although you do not have to respond to them.  ","Does"
"4","If you use our recommendation service to email one of our articles to a friend, you will need to provide us with your friend's email address and your email address as a return address. We will automatically send this person a one-time email, with the recommended article attached, as well as invite your friend to visit and register with our site. We will not use these email addresses for any other purpose.  ","Does"
"5","We collect IP addresses for site security and to help us understand how people use our sites so that we can improve our sites and our users' respective experiences. For similar quality reasons, we use a feature known as a ""cookie."" Cookies contain bits of information that websites transfer to your computer's hard drive for record-keeping purposes. Cookies can make the Web more convenient by storing information about your preferences on a site. Although we may assign your browser a cookie, the cookie does not tell us who you are. Only you can tell us that. We discuss cookies later in this Privacy Statement.  ","Does"
"5","We collect IP addresses for site security and to help us understand how people use our sites so that we can improve our sites and our users' respective experiences. For similar quality reasons, we use a feature known as a ""cookie."" Cookies contain bits of information that websites transfer to your computer's hard drive for record-keeping purposes. Cookies can make the Web more convenient by storing information about your preferences on a site. Although we may assign your browser a cookie, the cookie does not tell us who you are. Only you can tell us that. We discuss cookies later in this Privacy Statement.  ","Does Not"
"6","When you place an order for a product or service, we need to know the sort of information typically used for credit card transactions, such as your name, mailing and billing addresses (and shipping address, if different), telephone number, and credit card number and expiration date. Gathering this information allows us to process and fulfill your order and notify you of your order status. We will also use your information to contact you regarding your order if necessary. We encrypt all of this information using Secure Socket Layers (SSL) technology.  ","Does"
"7","If you enter stocks into a Watchlist or premium Scorecard, we will save that information, and use it to identify content that we think is relevant to you. We will also use that information in the aggregate to help us better understand what our community and our premium members are interested in, so we can create and target our content better.  ","Does"
"8","If you use a Motley Fool application on a third party site or mobile device we may collect data about you including your email address. We will let you know what data, if any, we are collecting at the time.  ","Does"
"9","Our Web site includes social media features including the Facebook Like button and widgets, such as the Share this button or other interactive mini-programs that run on our site (the ""Social Media Features""). These features may collect your IP address, which page you are visiting on our site, and may set a cookie to enable the feature to function properly. Social Media Features are either hosted by a third party or hosted directly us. Your interactions with these Social Media Features are governed by the privacy policy of the company providing it.  ","Does"
"9","Our Web site includes social media features including the Facebook Like button and widgets, such as the Share this button or other interactive mini-programs that run on our site (the ""Social Media Features""). These features may collect your IP address, which page you are visiting on our site, and may set a cookie to enable the feature to function properly. Social Media Features are either hosted by a third party or hosted directly us. Your interactions with these Social Media Features are governed by the privacy policy of the company providing it.  ","Does"
"10","You can log in to our site using third party sign-in services such as Facebook Connect or an Open ID provider. These services will authenticate your identity and provide you the option to share certain personal information with us such as your name and email address to pre-populate our sign up form. Services like Facebook Connect give you the option to post information about your activities on Fool.com to your profile page to share with others within your network.  ","Does"
"10","You can log in to our site using third party sign-in services such as Facebook Connect or an Open ID provider. These services will authenticate your identity and provide you the option to share certain personal information with us such as your name and email address to pre-populate our sign up form. Services like Facebook Connect give you the option to post information about your activities on Fool.com to your profile page to share with others within your network.  ","Does"
"11","We may also collect your email address when you submit content to our sites (for example, a contest entry, or a review of a product). Unless we get your approval, we will not display your address with your submission.  ","Does"
"12","Besides cookies, we may also use tiny electronic images (called ""single-pixel GIFs"" or ""Web beacons""), which allow us to count users who have visited specific pages or access certain cookies. We may use single-pixel GIFs in the following ways:     To count and recognize users.     To conduct research on behalf of some partners on their websites, and for auditing purposes.     To determine aggregate information about users, including demographic and usage information.     To determine which email messages were opened (and when), as well as acted upon when we send HTML-formatted email messages (messages resembling Web pages that include graphics).  ","Does"
"13","Our Web beacons do not collect personally identifiable information. You can disable our Web beacon by turning images ""off"" in your email client.  ","Does Not"
"14","Advertising networks that serve ads on our site may also use single-pixel GIFs in their advertisements. In general, any electronic image viewed as part of a Web page, including an ad banner, can act as a Web beacon.  ","Does"
"15","We have engaged third-party companies to process information about our users on our behalf, to help us improve our sites and find new members. These companies will combine our anonymized data about how you visit our websites with information that they have collected from outside our sites and provide it to us (and only us) so that we can optimize your experience on fool.com across devices and based on your interests. We will not provide the third-party service providers with your name, address, email address, or telephone number.  ","Does"
"15","We have engaged third-party companies to process information about our users on our behalf, to help us improve our sites and find new members. These companies will combine our anonymized data about how you visit our websites with information that they have collected from outside our sites and provide it to us (and only us) so that we can optimize your experience on fool.com across devices and based on your interests. We will not provide the third-party service providers with your name, address, email address, or telephone number.  ","Does Not"
"17"," How Does The Motley Fool Use Your Personal Information-    The Motley Fool collects personal information to provide you, the user, with the best and most personalized experience possible, and to provide our advertisers with an efficient way to reach the right audience. In short, by knowing a little about you, The Motley Fool can deliver more relevant content and advertisements to you.  ","Does"
"18","We conduct research on our users' demographics, interests, and behavior based upon the information you provide us when you register or participate in contests or other promotions on our site, or based upon information we receive from other sources. This research is usually compiled and analyzed on an aggregated basis, but may also be combined with personal information to help us improve your experience. We may also notify you of products, services, or areas of our site that we think may interest you based on the information we've received. If you would prefer us not to contact you for these purposes, simply go to our opt-out page and let us know.  ","Does"
